date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-08-22,123181194.9702062,-0.0015648144642124158,1601598239.3135786,0.2174650701048448,1552725.6164801018,0.0002174172017493988,122479166.25363582,702028.716570375,0.014494419
2025-08-25,122023175.4845584,-0.009150745251185277,1632352002.3573458,0.24966280811941804,1583545.3672189573,0.0002501985042953173,121219991.12855096,803184.3560074475,0.015108943
2025-08-26,124329334.16973528,0.01911907991529961,1659191243.3694115,0.21995199604899693,1610357.525649979,0.0002197300498413493,123607127.13424681,722207.0354884653,-0.003908694
2025-08-27,123490516.50365743,-0.006505428531227878,1689148670.7001488,0.24095220593588365,1640359.5939514702,0.00024131126014502878,122709029.59496301,781486.9086944214,-0.017586708
2025-08-28,123897049.87512615,0.00349850572143879,1713326792.8079815,0.19578930263132055,1665858.5010142243,0.00020648473894753554,120499491.96365117,3397557.911474992,0.011379719
2025-08-29,123812599.94008219,-0.0004378158760677928,1743275508.4161997,0.24172258853946096,1696064.3406248917,0.00024379789221060078,119930999.86331972,3881600.076762471,0.0037283897
2025-09-01,126267434.93925022,0.020064898227954247,1772717254.2485878,0.2377928082169035,1725516.5585930317,0.0002378773887503624,122394342.80895203,3873092.130298182,0.0045627356
2025-09-02,124780951.21296558,-0.01151299356214646,1806918082.0429368,0.27086024049513363,1758284.119313335,0.0002595091975699709,123807160.79147848,973790.421487099,-0.004488945
2025-09-03,122864215.36203608,-0.01513988659862687,1834592355.959153,0.2217828414289295,1785850.5192097428,0.00022091833431658756,122133739.38006163,730475.9819744495,-0.011553764
2025-09-04,121987230.3543393,-0.006933231278246379,1856928825.9017289,0.18179801072882362,1810989.5059812525,0.0002046078811266105,115676859.70126878,6310370.653070519,-0.0125030875
2025-09-05,123342402.88706072,0.011331569790508459,1885425312.9459414,0.23360221362054154,1838123.7875708651,0.0002224354263212222,119783577.42477992,3558825.4622807926,0.012384415
2025-09-08,123186795.60106833,-0.0010248323563966017,1915956619.623204,0.24753293241107632,1867325.7881688836,0.00023675556754604115,122315784.29787372,871011.3031946174,0.0037579536
2025-09-09,122323277.55488336,-0.006786622099858781,1943512051.063397,0.22368819081412947,1894821.6049168587,0.00022320425345763773,121598991.45287248,724286.1020108815,-0.0051084757
