symbol,sina_symbol,code,exchange,name,board
600223.SH,sh600223,600223,SH,福瑞达,沪市主板
600226.SH,sh600226,600226,SH,亨通股份,沪市主板
600227.SH,sh600227,600227,SH,赤天化,沪市主板
600228.SH,sh600228,600228,SH,返利科技,沪市主板
600229.SH,sh600229,600229,SH,城市传媒,沪市主板
600230.SH,sh600230,600230,SH,沧州大化,沪市主板
600231.SH,sh600231,600231,SH,凌钢股份,沪市主板
600232.SH,sh600232,600232,SH,金鹰股份,沪市主板
600233.SH,sh600233,600233,SH,圆通速递,沪市主板
600234.SH,sh600234,600234,SH,科新发展,沪市主板
600235.SH,sh600235,600235,SH,民丰特纸,沪市主板
600236.SH,sh600236,600236,SH,桂冠电力,沪市主板
600237.SH,sh600237,600237,SH,铜峰电子,沪市主板
600238.SH,sh600238,600238,SH,*ST椰岛,沪市主板
600239.SH,sh600239,600239,SH,ST云城,沪市主板
600241.SH,sh600241,600241,SH,时代万恒,沪市主板
600243.SH,sh600243,600243,SH,*ST海华,沪市主板
600246.SH,sh600246,600246,SH,万通发展,沪市主板
600248.SH,sh600248,600248,SH,陕建股份,沪市主板
600249.SH,sh600249,600249,SH,两面针,沪市主板
600250.SH,sh600250,600250,SH,南京商旅,沪市主板
600251.SH,sh600251,600251,SH,冠农股份,沪市主板
600252.SH,sh600252,600252,SH,中恒集团,沪市主板
600255.SH,sh600255,600255,SH,鑫科材料,沪市主板
600256.SH,sh600256,600256,SH,广汇能源,沪市主板
600257.SH,sh600257,600257,SH,大湖股份,沪市主板
600258.SH,sh600258,600258,SH,首旅酒店,沪市主板
600259.SH,sh600259,600259,SH,中稀有色,沪市主板
600261.SH,sh600261,600261,SH,阳光照明,沪市主板
600262.SH,sh600262,600262,SH,北方股份,沪市主板
600265.SH,sh600265,600265,SH,*ST景谷,沪市主板
600266.SH,sh600266,600266,SH,城建发展,沪市主板
600267.SH,sh600267,600267,SH,海正药业,沪市主板
600268.SH,sh600268,600268,SH,国电南自,沪市主板
600269.SH,sh600269,600269,SH,赣粤高速,沪市主板
600271.SH,sh600271,600271,SH,航天信息,沪市主板
600272.SH,sh600272,600272,SH,开开实业,沪市主板
600273.SH,sh600273,600273,SH,嘉化能源,沪市主板
600276.SH,sh600276,600276,SH,恒瑞医药,沪市主板
600278.SH,sh600278,600278,SH,东方创业,沪市主板
600279.SH,sh600279,600279,SH,重庆港,沪市主板
600280.SH,sh600280,600280,SH,中央商场,沪市主板
600281.SH,sh600281,600281,SH,华阳新材,沪市主板
600282.SH,sh600282,600282,SH,南钢股份,沪市主板
600283.SH,sh600283,600283,SH,钱江水利,沪市主板
600284.SH,sh600284,600284,SH,浦东建设,沪市主板
600285.SH,sh600285,600285,SH,羚锐制药,沪市主板
600287.SH,sh600287,600287,SH,苏豪时尚,沪市主板
600288.SH,sh600288,600288,SH,大恒科技,沪市主板
600289.SH,sh600289,600289,SH,ST信通,沪市主板
600292.SH,sh600292,600292,SH,电投水电,沪市主板
600293.SH,sh600293,600293,SH,三峡新材,沪市主板
600295.SH,sh600295,600295,SH,鄂尔多斯,沪市主板
600298.SH,sh600298,600298,SH,安琪酵母,沪市主板
600299.SH,sh600299,600299,SH,安迪苏,沪市主板
600300.SH,sh600300,600300,SH,维维股份,沪市主板
600301.SH,sh600301,600301,SH,华锡有色,沪市主板
600302.SH,sh600302,600302,SH,ST标准,沪市主板
600303.SH,sh600303,600303,SH,曙光股份,沪市主板
600305.SH,sh600305,600305,SH,恒顺醋业,沪市主板
600307.SH,sh600307,600307,SH,酒钢宏兴,沪市主板
600308.SH,sh600308,600308,SH,华泰股份,沪市主板
600309.SH,sh600309,600309,SH,万华化学,沪市主板
600310.SH,sh600310,600310,SH,广西能源,沪市主板
600312.SH,sh600312,600312,SH,平高电气,沪市主板
600313.SH,sh600313,600313,SH,农发种业,沪市主板
600315.SH,sh600315,600315,SH,上海家化,沪市主板
600316.SH,sh600316,600316,SH,XD洪都航,沪市主板
600318.SH,sh600318,600318,SH,新力金融,沪市主板
600319.SH,sh600319,600319,SH,亚星化学,沪市主板
600320.SH,sh600320,600320,SH,振华重工,沪市主板
600322.SH,sh600322,600322,SH,津投城开,沪市主板
600323.SH,sh600323,600323,SH,瀚蓝环境,沪市主板
600325.SH,sh600325,600325,SH,华发股份,沪市主板
600326.SH,sh600326,600326,SH,西藏天路,沪市主板
600327.SH,sh600327,600327,SH,大东方,沪市主板
600328.SH,sh600328,600328,SH,中盐化工,沪市主板
600329.SH,sh600329,600329,SH,达仁堂,沪市主板
600330.SH,sh600330,600330,SH,天通股份,沪市主板
600331.SH,sh600331,600331,SH,宏达股份,沪市主板
600332.SH,sh600332,600332,SH,白云山,沪市主板
600333.SH,sh600333,600333,SH,长春燃气,沪市主板
600335.SH,sh600335,600335,SH,国机汽车,沪市主板
600336.SH,sh600336,600336,SH,澳柯玛,沪市主板
600337.SH,sh600337,600337,SH,ST美克,沪市主板
600338.SH,sh600338,600338,SH,西藏珠峰,沪市主板
600339.SH,sh600339,600339,SH,中油工程,沪市主板
600340.SH,sh600340,600340,SH,*ST华幸,沪市主板
600343.SH,sh600343,600343,SH,航天动力,沪市主板
600345.SH,sh600345,600345,SH,长江通信,沪市主板
600346.SH,sh600346,600346,SH,恒力石化,沪市主板
600348.SH,sh600348,600348,SH,华阳股份,沪市主板
600350.SH,sh600350,600350,SH,山东高速,沪市主板
600351.SH,sh600351,600351,SH,亚宝药业,沪市主板
600352.SH,sh600352,600352,SH,浙江龙盛,沪市主板
600353.SH,sh600353,600353,SH,旭光电子,沪市主板
600354.SH,sh600354,600354,SH,敦煌种业,沪市主板
600356.SH,sh600356,600356,SH,XD恒丰纸,沪市主板
600358.SH,sh600358,600358,SH,国旅联合,沪市主板
600359.SH,sh600359,600359,SH,新农开发,沪市主板
600360.SH,sh600360,600360,SH,华微电子,沪市主板
600361.SH,sh600361,600361,SH,创新新材,沪市主板
600362.SH,sh600362,600362,SH,江西铜业,沪市主板
600363.SH,sh600363,600363,SH,联创光电,沪市主板
600365.SH,sh600365,600365,SH,ST通葡,沪市主板
600366.SH,sh600366,600366,SH,宁波韵升,沪市主板
600367.SH,sh600367,600367,SH,红星发展,沪市主板
600368.SH,sh600368,600368,SH,五洲交通,沪市主板
600369.SH,sh600369,600369,SH,西南证券,沪市主板
600370.SH,sh600370,600370,SH,*ST三房,沪市主板
600371.SH,sh600371,600371,SH,万向德农,沪市主板
600372.SH,sh600372,600372,SH,中航机载,沪市主板
600373.SH,sh600373,600373,SH,中文传媒,沪市主板
600375.SH,sh600375,600375,SH,汉马科技,沪市主板
600376.SH,sh600376,600376,SH,首开股份,沪市主板
600377.SH,sh600377,600377,SH,宁沪高速,沪市主板
600378.SH,sh600378,600378,SH,昊华科技,沪市主板
600379.SH,sh600379,600379,SH,宝光股份,沪市主板
600380.SH,sh600380,600380,SH,XD健康元,沪市主板
600381.SH,sh600381,600381,SH,*ST春天,沪市主板
600382.SH,sh600382,600382,SH,广东明珠,沪市主板
600383.SH,sh600383,600383,SH,金地集团,沪市主板
600386.SH,sh600386,600386,SH,北巴传媒,沪市主板
600388.SH,sh600388,600388,SH,龙净环保,沪市主板
600389.SH,sh600389,600389,SH,江山股份,沪市主板
600390.SH,sh600390,600390,SH,XD五矿资,沪市主板
600391.SH,sh600391,600391,SH,航发科技,沪市主板
600392.SH,sh600392,600392,SH,盛和资源,沪市主板
600395.SH,sh600395,600395,SH,盘江股份,沪市主板
600396.SH,sh600396,600396,SH,华电辽能,沪市主板
600397.SH,sh600397,600397,SH,江钨装备,沪市主板
600398.SH,sh600398,600398,SH,海澜之家,沪市主板
600399.SH,sh600399,600399,SH,抚顺特钢,沪市主板
600400.SH,sh600400,600400,SH,红豆股份,沪市主板
600403.SH,sh600403,600403,SH,大有能源,沪市主板
600405.SH,sh600405,600405,SH,动力源,沪市主板
600406.SH,sh600406,600406,SH,国电南瑞,沪市主板
600408.SH,sh600408,600408,SH,安泰集团,沪市主板
600409.SH,sh600409,600409,SH,XD三友化,沪市主板
600410.SH,sh600410,600410,SH,华胜天成,沪市主板
600415.SH,sh600415,600415,SH,小商品城,沪市主板
600416.SH,sh600416,600416,SH,湘电股份,沪市主板
600418.SH,sh600418,600418,SH,江淮汽车,沪市主板
600419.SH,sh600419,600419,SH,天润乳业,沪市主板
600420.SH,sh600420,600420,SH,国药现代,沪市主板
600422.SH,sh600422,600422,SH,昆药集团,沪市主板
600423.SH,sh600423,600423,SH,*ST柳化,沪市主板
600425.SH,sh600425,600425,SH,青松建化,沪市主板
600426.SH,sh600426,600426,SH,华鲁恒升,沪市主板
600428.SH,sh600428,600428,SH,中远海特,沪市主板
600429.SH,sh600429,600429,SH,三元股份,沪市主板
600433.SH,sh600433,600433,SH,冠豪高新,沪市主板
600435.SH,sh600435,600435,SH,北方导航,沪市主板
600436.SH,sh600436,600436,SH,片仔癀,沪市主板
600438.SH,sh600438,600438,SH,通威股份,沪市主板
600439.SH,sh600439,600439,SH,瑞贝卡,沪市主板
600444.SH,sh600444,600444,SH,国机通用,沪市主板
600446.SH,sh600446,600446,SH,金证股份,沪市主板
600448.SH,sh600448,600448,SH,华纺股份,沪市主板
600449.SH,sh600449,600449,SH,宁夏建材,沪市主板
600452.SH,sh600452,600452,SH,涪陵电力,沪市主板
600455.SH,sh600455,600455,SH,博通股份,沪市主板
600456.SH,sh600456,600456,SH,宝钛股份,沪市主板
600458.SH,sh600458,600458,SH,时代新材,沪市主板
600459.SH,sh600459,600459,SH,XD贵研铂,沪市主板
600460.SH,sh600460,600460,SH,士兰微,沪市主板
600461.SH,sh600461,600461,SH,洪城环境,沪市主板
600463.SH,sh600463,600463,SH,空港股份,沪市主板
600467.SH,sh600467,600467,SH,好当家,沪市主板
600468.SH,sh600468,600468,SH,百利电气,沪市主板
600469.SH,sh600469,600469,SH,风神股份,沪市主板
600470.SH,sh600470,600470,SH,六国化工,沪市主板
600475.SH,sh600475,600475,SH,华光环能,沪市主板
600476.SH,sh600476,600476,SH,*ST湘邮,沪市主板
